"created_time","engaged_fans","impressions","non_viral_impressions","post_activity","post_clicks","post_reaction_anger","post_reaction_haha","post_reaction_like","post_reaction_love","post_reaction_sorry","post_reaction_wow","reach"
"2018-05-10 18:14:00",500,3690,3390,43,582,0,1,39,3,0,0,3063
"2018-05-10 18:30:00",3001,181849,60058,5899,4008,1,61,4066,106,5,13,125613
"2018-05-10 19:00:00",3006,158137,63449,4677,2929,0,1,3160,96,1,2,108692
"2018-05-10 19:30:00",1337,66914,35021,2148,1044,0,0,1523,49,1,1,45948
"2018-05-10 20:00:00",1452,79517,44485,1448,1842,0,4,950,39,1,2,54891
"2018-05-10 21:00:00",863,52764,30606,1064,748,0,0,692,25,2,0,35579
"2018-05-10 21:36:00",3589,80296,70834,945,4270,1,1,723,45,1,3,58137
"2018-05-10 22:00:00",3370,159798,63931,5961,3823,1,3,4470,122,2,8,111377
"2018-05-10 22:30:00",3154,195057,53962,7840,3621,0,3,5669,164,0,7,132684
"2018-05-10 23:00:00",950,44809,30184,1172,577,0,0,864,17,0,0,30243
"2018-05-10 23:30:00",2942,169176,63294,5055,3649,0,3,3072,91,1,1,118396
"2018-06-10 05:00:00",4460,219665,77187,7969,4124,2,2,5341,281,0,1,155809
"2018-06-10 05:15:00",3515,193662,70520,7822,3798,0,12,5658,325,1,21,141617
"2018-06-10 05:30:00",4848,277898,89012,8492,6010,0,1,5257,173,1,3,188404
"2018-06-10 05:45:00",1673,84093,36077,2466,1492,0,1,1667,53,0,1,59492
"2018-06-10 06:37:00",767,39025,23182,1154,445,0,0,811,42,0,1,27072
"2018-06-10 06:37:00",4764,227561,68397,9400,3972,0,2,6729,225,1,4,155306
"2018-06-10 07:00:00",1735,102536,35005,4045,2080,1,0,2975,102,1,5,73487
"2018-06-10 08:01:00",4188,242681,80063,7144,4833,0,9,4582,164,7,5,160263
"2018-06-10 09:00:00",1036,53326,29128,1348,1038,0,0,986,33,0,2,38424
"2018-06-10 10:00:00",7987,549087,105099,19499,12386,0,61,13145,597,3,10,362269
"2018-06-10 11:00:00",5290,302557,62042,15385,5830,0,10,12114,336,1,5,202967
"2018-06-10 12:00:00",1905,117212,46860,3100,2331,1,1,2097,68,1,4,79693
"2018-06-10 13:00:00",1664,85851,40868,2610,1297,0,1,1817,42,0,1,58905
"2018-06-10 13:30:00",4399,292881,108735,8208,5005,1,124,5746,226,1,9,197967
"2018-06-10 14:00:00",7407,445778,122027,12772,9190,30,36,8206,219,252,39,295265
"2018-06-10 15:00:00",4196,262793,78810,7879,5121,4,13,5266,135,49,6,177953
"2018-06-10 15:30:00",2511,129959,54051,3936,3211,0,4,2838,129,0,1,88447
"2018-06-10 16:00:00",1595,91175,49290,2082,1638,0,0,1272,66,2,3,61809
"2018-06-10 16:30:00",1539,65855,46828,1173,1459,0,3,781,10,16,1,46546
"2018-06-10 17:00:00",1565,67878,40722,2048,1068,0,1,1493,51,0,3,47256
"2018-06-10 18:00:00",2055,114426,48416,3911,2091,0,1,2769,72,0,1,79402
"2018-06-10 18:30:00",5770,430672,93209,14880,9184,2,231,9985,295,1,18,299870
"2018-06-10 19:00:00",2511,125544,57142,4141,2265,0,4,2959,108,0,3,83076
"2018-06-10 19:30:00",6362,358136,99536,12076,8420,0,8,8242,337,35,3,237354
"2018-06-10 20:00:00",2627,196708,54052,10480,4885,0,2,8499,134,3,13,140929
"2018-06-10 21:00:00",5741,372130,92353,11212,9384,4,2,7233,320,8,6,257556
"2018-06-10 21:30:00",2900,172444,56110,6558,3099,0,7,5042,244,2,3,114338
"2018-06-10 22:00:00",1606,70314,42514,2617,1003,0,12,2098,97,0,5,47220
"2018-06-10 22:30:00",1803,81596,42583,2999,1314,1,0,2095,86,7,0,54794
"2018-06-10 22:45:00",1212,63267,45661,1082,1033,6,54,644,14,1,3,43807
"2018-06-10 23:00:00",4105,219546,75277,7161,4637,0,4,4698,202,0,2,152628
"2018-07-10 05:00:00",3360,194100,71277,6249,3201,0,5,4151,166,0,1,133515
"2018-07-10 05:15:00",8623,434181,126926,18000,9524,1,9,12944,712,2,32,291523
"2018-07-10 05:30:00",3269,171575,62829,7083,2598,0,5,5226,261,2,1,118670
"2018-07-10 05:45:00",3961,229587,76225,8254,4323,1,3,5448,218,0,0,154793
"2018-07-10 06:00:00",5410,345086,84440,11113,7458,0,56,7435,185,20,18,226323
"2018-07-10 06:30:00",1756,96366,36982,3414,1938,0,0,2246,148,5,2,66520
"2018-07-10 07:00:00",527,29545,21612,621,380,0,0,440,15,0,1,19795
"2018-07-10 08:00:00",6645,440756,107512,15251,8081,5,9,10314,518,109,6,289332
"2018-07-10 09:30:00",4991,297191,100638,9832,6632,2,16,6352,536,1,8,209357
"2018-07-10 10:00:00",10033,735556,136232,30373,20120,1,34,24177,1789,50,110,519615
"2018-07-10 11:00:00",7053,463543,106048,16465,10659,4,11,11241,444,19,6,313213
"2018-07-10 13:00:00",1196,67995,38260,1428,1164,1,0,959,27,0,5,47677
"2018-07-10 13:00:00",1565,90321,43163,2597,1718,1,5,1903,53,0,1,61729
"2018-07-10 15:00:00",1723,83737,50340,1894,1812,0,1,1209,54,3,3,59519
"2018-07-10 15:30:00",1961,86852,53385,2042,1796,3,10,1369,58,2,7,61638
"2018-07-10 16:00:00",628,38037,31114,737,453,0,4,410,28,2,0,26938
"2018-07-10 16:30:00",6569,510869,118027,17556,13117,1,20,11607,634,2,25,355996
"2018-07-10 17:00:00",2988,151062,56089,6389,3056,1,3,4631,162,0,0,105910
"2018-07-10 17:30:00",2017,102013,50908,2882,1894,0,2,1970,71,3,3,74424
"2018-07-10 18:30:00",6999,417057,130711,14126,10504,7,31,10005,305,27,24,273980
"2018-07-10 19:00:00",1074,52671,35803,1534,839,0,1,1203,17,0,0,37002
"2018-07-10 19:30:00",4075,219620,91794,6095,5061,3,41,4043,172,5,15,153607
"2018-07-10 20:00:00",5411,319241,90158,12150,7676,2,6,8418,375,43,10,223047
"2018-07-10 20:30:00",1900,105389,59542,2260,2339,0,1,1586,78,2,2,75430
"2018-07-10 21:30:00",1114,49414,32069,1331,733,0,1,893,30,0,1,35633
"2018-07-10 22:00:00",1912,89195,44492,2946,1475,0,0,2057,56,2,1,61845
"2018-07-10 22:30:00",1232,68230,36427,1648,1022,0,2,1137,42,0,2,47366
"2018-07-10 22:45:00",2659,104954,61168,2356,3233,0,3,1811,52,0,5,72815
"2018-07-10 23:00:00",1053,49410,33596,1154,761,1,0,822,26,0,0,34029
"2018-07-10 23:30:00",737,37244,23420,921,614,0,0,563,19,0,1,25874
"2018-08-10 05:00:00",5237,286039,76966,11316,6445,0,2,7520,248,2,3,205081
"2018-08-10 05:15:00",2149,111893,45905,3663,1839,0,3,2477,69,1,3,78365
"2018-08-10 05:30:00",6011,363642,99161,11556,7535,0,7,7205,281,0,1,252072
"2018-08-10 05:45:00",7783,464623,110377,18727,9934,2,3,12694,713,1,5,328607
"2018-08-10 06:00:00",10000,719520,119293,26661,20541,4,31,18387,773,21,25,478340
"2018-08-10 06:30:00",826,37471,22200,1173,521,0,0,788,67,1,0,25729
"2018-08-10 07:00:00",8981,580896,126447,20051,13296,7,209,14432,492,7,32,406062
"2018-08-10 07:30:00",1961,128766,54041,3700,2170,0,2,2395,73,0,0,90180
"2018-08-10 08:00:00",817,45255,25397,1318,817,0,0,927,40,0,1,31989
"2018-08-10 09:00:00",1648,76553,41160,2053,1654,1,0,1390,44,5,5,55943
"2018-08-10 10:00:00",2141,124733,48139,4774,2164,0,1,3139,103,0,5,86817
"2018-08-10 11:00:00",14516,1187598,175914,43887,28659,17,73,30023,1561,34,51,765254
"2018-08-10 12:00:00",1993,108443,42761,3421,1976,0,2,2368,60,0,1,75826
"2018-08-10 13:01:00",756,45665,33991,672,820,0,1,442,23,1,1,32642
"2018-08-10 14:01:00",5500,308994,83178,11618,6749,2,3,8090,295,2,2,218001
"2018-08-10 15:00:00",3289,185910,68692,5903,3900,0,3,3968,153,7,3,133527
"2018-08-10 16:00:00",963,51934,34522,925,875,0,3,564,12,4,3,35667
"2018-08-10 17:02:00",5466,314122,83824,12419,6368,2,6,8568,319,1,4,220368
"2018-08-10 18:00:00",1495,86114,41944,2566,1323,0,0,1715,72,0,1,59795
"2018-08-10 18:30:00",5572,381037,107263,11655,8805,2,11,7330,340,3,6,248980
"2018-08-10 19:00:00",2335,127706,52579,3462,2473,0,1,2296,75,0,0,91120
"2018-08-10 19:30:00",1221,63533,37781,1430,1090,0,0,931,47,2,0,45718
"2018-08-10 20:00:00",14197,748864,155763,28582,23431,4,48,21419,1130,2,42,515474
"2018-08-10 20:30:00",6585,414564,90973,17218,10023,1,3,12131,325,6,5,287992
"2018-08-10 21:00:00",699,38192,28875,748,490,0,1,493,16,0,1,26749
"2018-08-10 22:00:00",1370,83083,37663,2268,1564,1,1,1442,58,0,1,57499
"2018-08-10 22:30:00",5412,287829,83328,10372,6226,2,6,7008,303,3,17,196584
"2018-08-10 23:00:00",1026,60592,30854,1537,1150,0,0,991,64,0,0,42376
"2018-09-10 05:00:00",2933,163807,58264,5647,3036,1,1,3762,104,1,2,118386
"2018-09-10 05:15:00",6297,366899,97890,14799,8511,1,10,11207,283,2,15,253333
"2018-09-10 05:30:00",2591,128348,49972,4933,2384,0,1,3275,142,3,0,85872
"2018-09-10 05:45:00",1628,82783,32154,3348,1275,0,0,2355,115,0,0,57783
"2018-09-10 06:00:00",1597,93438,33707,2658,1775,0,2,1714,69,1,0,64877
"2018-09-10 06:30:00",9245,649267,110252,31422,16625,2,15,21616,858,4,24,441793
"2018-09-10 07:00:00",2494,181478,55058,4682,3604,1,26,2962,123,0,6,125413
"2018-09-10 07:30:00",1668,90027,42129,2469,1510,0,1,1608,45,3,1,63439
"2018-09-10 08:01:00",1679,71091,32833,2690,1226,0,1,1813,59,0,2,48140
"2018-09-10 08:30:00",3304,230199,76329,6556,4982,4,20,3938,221,4,12,151469
"2018-09-10 09:00:00",8572,704304,107812,27774,18119,2,17,20126,705,26,15,462804
"2018-09-10 10:00:00",4391,273689,69223,9075,5223,2,11,6270,162,17,7,193228
"2018-09-10 11:00:00",6513,376360,99469,12820,8669,3,45,8755,271,8,10,262677
"2018-09-10 12:00:00",2202,121606,46133,4151,2562,1,2,2805,67,1,0,84629
"2018-09-10 13:00:00",640,34985,26881,644,478,0,2,448,3,0,2,23922
"2018-09-10 14:00:00",3961,245959,69580,9142,4874,0,6,6146,243,1,4,172524
"2018-09-10 15:00:00",11175,1065397,162834,33484,23577,93,218,21381,547,229,71,675504
"2018-09-10 15:30:00",7968,574169,111459,18856,13389,0,10,12679,753,10,17,392129
"2018-09-10 16:00:00",1103,54140,31468,1404,942,0,3,890,33,1,0,37166
"2018-09-10 17:01:00",2880,146715,51215,4881,3064,0,7,3298,147,0,1,101690
"2018-09-10 18:00:00",4332,288950,70340,10469,5984,3,15,7103,313,12,20,193965
"2018-09-10 19:01:00",4291,260088,66217,8027,6102,1,8,5173,153,4,14,182614
"2018-09-10 20:00:00",1610,79344,44023,2127,1543,0,0,1392,46,1,1,54464
"2018-09-10 21:00:00",1811,87788,39143,3637,1570,0,0,2748,77,0,4,63061
"2018-09-10 22:00:00",932,50205,38185,1175,524,1,0,861,18,0,0,33588
"2018-09-10 22:30:00",3920,214911,68424,7249,4315,0,3,4977,175,3,3,149948
"2018-09-10 23:00:00",1085,57346,31198,1576,1099,0,1,1080,30,2,2,39216
"2018-09-20 18:00:00",3264,208954,56216,9605,4930,0,10,7208,146,3,6,148667
"2018-09-20 22:30:00",3050,149767,54666,6389,2914,2,2,4592,145,3,1,102054
"2018-09-20 23:00:00",1424,80016,32767,3011,1469,0,0,2114,48,0,0,56179
"2018-09-21 19:00:00",4848,257410,62816,11057,4831,1,134,7516,314,0,5,173809
"2018-09-21 20:00:00",7049,406029,114150,13989,10276,1,23,8740,469,2,10,280329
"2018-09-21 22:30:00",1639,75676,40928,2307,1377,0,1,1515,80,0,1,54435
"2018-09-21 23:00:00",3996,259063,67804,11233,5382,0,4,7956,200,1,7,170682
"2018-09-22 05:45:00",1489,78320,33002,2655,1465,0,1,1726,82,1,1,54791
"2018-09-22 21:00:00",4478,288450,75195,11621,6097,1,6,7989,226,1,8,199523
"2018-09-23 11:00:00",4684,274537,75090,9993,5066,1,4,6621,249,3,3,186350
"2018-09-23 18:00:00",788,37988,22050,1075,717,0,1,707,29,0,2,25719
"2018-09-24 09:00:00",5218,373718,86543,10561,10805,3,24,7013,242,66,45,264844
"2018-09-24 12:00:00",750,40648,27145,1035,617,1,0,661,28,2,0,27850
"2018-09-24 14:00:00",1324,63147,31131,2297,1312,0,0,1603,56,2,1,43890
"2018-09-25 12:00:00",5289,272834,76025,10972,5199,2,27,7587,369,11,13,191343
"2018-09-25 16:00:00",1474,68013,48992,1286,1428,1,4,895,47,1,55,47373
"2018-09-25 18:30:00",763,40665,27214,1009,555,0,0,674,24,0,1,28182
"2018-09-25 22:00:00",1698,81823,44994,2301,1505,0,0,1433,42,0,0,54676
"2018-09-26 05:45:00",1977,99740,45236,3697,1469,0,3,2593,83,0,2,69005
"2018-09-27 14:00:00",1240,75215,35177,2222,1500,0,0,1460,63,0,0,53271
"2018-09-28 12:00:00",2101,114116,49445,3442,1876,0,1,2305,65,1,3,77192
"2018-09-28 21:30:00",6209,344974,94687,10838,8743,2,15,6955,184,5,13,241697
"2018-09-28 22:00:00",1152,81038,28404,2417,1533,0,1,1791,32,0,0,56920
"2018-09-29 05:45:00",3821,203298,69534,8300,4144,1,2,5894,229,0,2,144257
"2018-09-29 08:00:00",766,44263,32337,867,651,0,1,557,14,0,3,32334
"2018-09-29 17:00:00",749,36842,29749,748,793,0,5,570,8,0,0,26890
"2018-09-30 14:00:00",2243,125233,53563,4043,2430,1,2,2625,163,0,3,87005
"2018-09-30 22:45:00",3067,154024,55070,5713,3004,1,4,3968,143,1,4,109110
"2018-10-10 05:00:00",8913,454690,111118,21047,9268,0,11,15351,712,10,7,316877
"2018-10-10 05:15:00",2976,143886,67581,4506,3150,0,3,2792,129,1,1,102701
"2018-10-10 05:30:00",8411,497972,96574,21954,11122,3,13,15399,685,3,5,351577
"2018-10-10 05:45:00",4560,243801,73590,9900,5152,0,6,7089,284,0,1,173427
"2018-10-10 06:00:00",3624,226510,70242,7486,4535,0,5,4905,299,66,1,154640
"2018-10-10 06:00:00",1021,46854,22265,1427,899,1,2,991,24,1,0,31857
"2018-10-10 06:30:00",4425,239276,58897,8684,4899,0,3,6030,171,5,5,165292
"2018-10-10 07:00:00",1355,70889,34340,2559,1398,0,1,1533,59,1,0,48409
"2018-10-10 07:30:00",6542,436452,80853,19187,9311,1,4,13065,551,37,7,292275
"2018-10-10 08:00:00",707,32167,22454,964,523,0,3,679,22,0,0,21836
"2018-10-10 08:30:00",11864,850351,132249,29887,23707,1,22,20123,923,34,22,584313
"2018-10-10 09:00:00",3428,209628,55216,7931,4352,0,5,5665,427,11,8,142779
"2018-10-10 09:30:00",1796,94349,39152,2813,2089,1,19,1787,50,8,3,63425
"2018-10-10 10:00:00",573,35684,24470,622,540,0,0,430,19,1,2,24337
"2018-10-10 11:00:00",6766,429005,90980,15888,10419,2,24,11226,593,0,14,290012
"2018-10-10 11:30:00",12280,714159,146548,28988,14813,1,40,20513,1156,58,35,493744
"2018-10-10 12:00:00",8096,588297,102832,21692,13332,1,6,14752,626,35,12,393630
"2018-10-10 13:00:00",7575,559941,250235,27654,12774,5,10,18896,543,109,4,365425
"2018-10-10 14:00:00",2115,148094,56454,3973,2413,2,7,2679,91,0,3,98979
"2018-10-10 14:30:00",1177,60100,41667,1156,1128,0,1,795,53,4,0,42062
"2018-10-10 15:00:00",4816,252228,70420,9376,5184,1,5,6732,184,3,5,175193
"2018-10-10 16:00:00",1575,81459,39165,2258,1428,0,2,1539,36,3,2,54442
"2018-10-10 16:30:00",486,32019,24786,426,447,1,2,257,7,1,0,22000
"2018-10-10 17:00:00",1406,69416,33285,2275,1120,0,0,1588,73,3,2,48090
"2018-10-10 17:30:00",1643,82526,48168,1859,1926,0,4,1269,61,2,2,56715
"2018-10-10 18:00:00",2118,107296,51020,3636,1569,2,3,2621,113,5,3,72591
"2018-10-10 18:30:00",1634,79810,55181,1384,1567,0,0,1024,38,0,1,54893
"2018-10-10 19:00:00",3072,174956,69430,4939,3768,0,4,3611,137,0,6,125316
"2018-10-10 19:30:00",4505,286507,86125,7898,5900,9,58,5063,114,40,13,194129
"2018-10-10 20:00:00",854,50573,30041,1272,821,0,1,859,38,4,0,34135
"2018-10-10 21:26:00",6980,442569,108848,13908,10560,37,146,8594,209,115,66,290547
"2018-10-10 22:00:00",3560,188044,69707,6118,3759,0,1,4315,196,1,5,131274
"2018-10-10 22:30:00",1454,77754,35662,2992,1515,0,1,2202,86,1,0,55428
"2018-10-10 22:45:00",1166,61667,37136,1290,1021,1,1,846,40,0,0,40936
"2018-10-10 23:00:00",912,47188,31595,1164,615,1,0,858,29,1,2,32171
"2018-10-13 05:00:00",2678,153636,65420,5384,2433,0,1,3577,167,1,1,107108
"2018-10-13 05:15:00",8618,478978,147282,15538,12378,0,8,9742,383,0,1,317979
"2018-10-13 05:30:00",1882,98635,42558,3599,1531,0,1,2466,89,0,1,69444
"2018-10-13 05:45:00",5409,335952,139769,12475,6681,3,7,9084,344,0,4,230432
"2018-10-13 06:00:00",8558,565139,150899,22107,10694,2,19,16682,744,5,11,395093
"2018-10-13 06:30:00",3471,264203,102032,8889,5355,1,0,5860,216,3,2,186215
"2018-10-13 07:00:00",4053,323374,119586,12250,6345,2,5,8680,242,18,2,232432
"2018-10-13 08:00:00",6840,567653,143769,18647,11890,20,47,12422,252,57,22,386505
"2018-10-13 09:00:00",2357,194566,97020,4581,3570,0,2,2818,150,1,3,138379
"2018-10-13 10:00:00",948,83294,47648,2028,1412,0,0,1337,49,0,1,56680
"2018-10-13 11:00:00",1182,86475,63052,2211,1609,1,12,1541,38,1,5,61097
"2018-10-13 12:00:00",2101,157028,87350,5003,2929,0,0,3551,118,1,2,115272
"2018-10-13 13:00:00",3391,265112,104255,6729,4348,4,13,4306,129,8,6,184188
"2018-10-13 14:00:00",1641,140959,82471,3666,2443,0,1,2686,81,0,2,99089
"2018-10-13 15:00:00",7154,633414,181067,19258,15382,7,23,11834,731,11,15,434408
"2018-10-13 16:00:00",1531,125936,74092,2557,2495,3,2,1619,39,0,0,87003
"2018-10-13 17:00:00",4891,428461,144661,11154,9629,2,33,7673,163,12,11,293865
"2018-10-13 18:00:00",5757,505854,160271,13656,11336,5,25,8749,264,38,26,346805
"2018-10-13 18:30:00",998,81101,62268,1857,1298,0,0,1385,33,0,0,57180
"2018-10-13 19:00:00",2467,200572,95760,4637,3948,0,3,2904,130,5,1,139928
"2018-10-13 20:00:00",2027,147937,88333,5304,2036,0,1,4122,140,1,2,105880
"2018-10-13 21:00:00",2099,166316,84854,3976,3340,0,3,2616,79,2,6,117362
"2018-10-13 22:00:00",1673,156836,81624,3362,3179,0,2,2366,72,0,2,110542
"2018-10-13 22:30:00",3961,263756,124488,8477,4036,1,3,6093,227,3,2,180802
"2018-10-13 22:45:00",4597,362751,143805,11143,7177,0,9,8006,234,8,5,252210
"2018-10-13 23:00:00",3192,227511,118619,7422,4040,0,3,5420,141,6,5,158632
"2018-10-13 23:45:00",2006,130312,70095,3706,2231,0,4,2443,113,0,6,90202
"2018-10-14 05:00:00",2003,120025,50980,3865,1962,1,0,2529,86,1,1,86806
"2018-10-14 05:15:00",5884,436171,128264,15463,9023,1,6,10207,320,0,2,293682
"2018-10-14 05:30:00",1021,61874,37662,1586,834,0,0,1011,51,1,1,43188
"2018-10-14 05:45:00",4097,296256,123748,10214,6611,0,1,7285,155,1,4,214664
"2018-10-14 06:00:00",1670,141739,66656,3520,2455,0,5,2235,70,5,4,97012
"2018-10-14 07:00:00",2745,198752,92439,5912,3737,1,2,3850,141,1,4,141693
"2018-10-14 08:00:00",17922,1680204,260656,58852,47794,8,1366,37914,1652,12,116,1112171
"2018-10-14 09:00:00",5286,465944,162408,11750,9070,2,25,7614,187,112,8,310243
"2018-10-14 10:00:00",5807,485845,155801,16397,10136,2,3,11241,328,2,8,366054
